"Incluye  transacciones de Amazon Marketplace, Fulfillment by Amazon (FBA) y Amazon Webstore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Todos los importes en MXN, a menos que se especifique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definiciones:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Impuesto de venta cobrado: Incluye impuesto de venta cobrado a los compradores por ventas de productos, envíos y envoltorio de regalo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarifas de venta: Incluye tarifas de cierre variable y de remisión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarifas de otra transacción: Incluye reintegros de envío, retenciones de envío y tarifas de cobro de impuestos de venta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Otro: Incluye otros importes de transacción no relacionados con el pedido. Para obtener más detalles, consulta las columnas ""Tipo"" y ""Descripción"" para cada Id. de pedido.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecha/hora,Id. de liquidación,tipo ,Id. del pedido,sku,descripción,cantidad,marketplace,cumplimiento,ciudad del pedido,estado del pedido,código postal del pedido,modelo de recaudación de impuestos,ventas de productos,impuesto de ventas de productos,créditos de envío,impuesto de abono de envío,créditos por envoltorio de regalo,impuesto de créditos de envoltura,Tarifa reglamentaria,Impuesto sobre tarifa reglamentaria,descuentos promocionales,impuesto de reembolsos promocionales,impuesto de retenciones en la plataforma,tarifas de venta,tarifas fba,tarifas de otra transacción,otro,total,
21 nov 2022 17:47:03 GMT-8,16898162021,Pedido,702-8807796-1304230,CLKAWGT-10,Clicklife - Kit Alarma WiFi gsm Sistema de Seguridad Casa Negocio App Celular (10 Sensores),1,amazon.com.mx,Vendedor,SAN NICOLAS DE LOS GARZA,NUEVO LEON,66450,MarketplaceFacilitator,"3,412.93",546.07,75.72,12.12,0,0,0,0,0,0,0,-607.03,0,0,0,"3,439.81",
21 nov 2022 17:47:19 GMT-8,16898162021,Servicios de envío,702-8807796-1304230,,Etiqueta de envío comprada a través de Amazon,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88.32,-88.32,
30 nov 2022 12:19:41 GMT-8,16898166111,Tarifa de servicio,,,Suscripción,,Amazon.com.mx,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-600,-600,
5 dic 2022 07:50:06 GMT-8,16898166111,Servicios de envío,701-0318918-1013010,,Etiqueta de envío comprada a través de Amazon,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.4,-83.4,
5 dic 2022 07:58:00 GMT-8,16898166111,Pedido,701-0318918-1013010,CL-S30W,Clicklife - Kit Alarma WiFi gsm Sistema de Seguridad Casa Negocio App Celular (1 Sirena Alámbrica),1,amazon.com.mx,Vendedor,APIZACO,TLAXCALA,90380,MarketplaceFacilitator,852.59,136.41,34.48,5.52,0,0,0,0,0,0,0,-154.35,0,0,0,874.65,
5 dic 2022 07:58:00 GMT-8,16898166111,Pedido,701-0318918-1013010,CLKAWGT-10,Clicklife - Kit Alarma WiFi gsm Sistema de Seguridad Casa Negocio App Celular (10 Sensores),1,amazon.com.mx,Vendedor,APIZACO,TLAXCALA,90380,MarketplaceFacilitator,"3,412.93",546.07,41.24,6.6,0,0,0,0,0,0,0,-601.03,0,0,0,"3,405.81",
5 dic 2022 15:21:27 GMT-8,16898166111,Pedido,702-1644154-4408226,CLKAWGT-10,Clicklife - Kit Alarma WiFi gsm Sistema de Seguridad Casa Negocio App Celular (10 Sensores),1,amazon.com.mx,Vendedor,MERIDA,YUCATAN,97203,MarketplaceFacilitator,"3,412.93",546.07,75.72,12.12,0,0,0,0,0,0,0,-607.03,0,0,0,"3,439.81",
5 dic 2022 15:48:22 GMT-8,16898166111,Servicios de envío,702-1644154-4408226,,Etiqueta de envío comprada a través de Amazon,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-163.17,-163.17,
8 dic 2022 16:05:33 GMT-8,16898166111,Servicios de envío,702-8580532-8984230,,Etiqueta de envío comprada a través de Amazon,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.06,-77.06,
8 dic 2022 16:37:36 GMT-8,16898166111,Pedido,702-8580532-8984230,CLKAWGT-10,Clicklife - Kit Alarma WiFi gsm Sistema de Seguridad Casa Negocio App Celular (10 Sensores),1,amazon.com.mx,Vendedor,CUAUTITLAN IZCALLI,MEXICO,54769,MarketplaceFacilitator,"3,412.93",546.07,75.72,12.12,0,0,0,0,0,0,0,-607.03,0,0,0,"3,439.81",
